n_processes,time_taken
10,0.00478
10,0.00242
10,0.04347
10,0.01752
10,0.00925
20,0.00477
20,0.06399
20,0.00498
20,0.00275
20,0.01279
20,0.00413
20,0.00159
20,0.01444
20,0.03886
30,0.01646
30,0.03215
30,0.15807
30,0.00283
30,0.00166
30,0.01361
30,0.01337
30,0.01501
30,0.01245
30,0.00366
30,0.00147
30,0.00444
30,0.01909
40,0.06122
40,0.00847
40,0.00276
40,0.00138
40,0.02438
40,0.01312
40,0.01630
40,0.00303
40,0.01511
40,0.01392
40,0.01362
40,0.02865
40,0.01270
40,0.00349
40,0.01031
40,0.01018
40,0.11985
40,0.00077
40,0.01554
40,0.00479
40,0.00083
50,0.07809
50,0.01333
50,0.01305
50,0.00359
50,0.01695
50,0.00149
50,0.02834
50,0.09589
50,0.01425
50,0.02981
50,0.00278
50,0.00218
50,0.08615
50,0.00875
50,0.01364
50,0.01278
50,0.00409
50,0.01177
50,0.00386
50,0.01299
50,0.01514
50,0.00408
50,0.01211
50,0.02963
50,0.01469
50,0.00931
60,0.00446
60,0.05867
60,0.00312
60,0.00369
60,0.00310
60,0.01393
60,0.03072
60,0.00392
60,0.01413
60,0.00123
60,0.01250
60,0.01274
60,0.01409
60,0.00325
60,0.00906
60,0.01326
60,0.01475
60,0.00913
60,0.00162
60,0.00774
60,0.01422
60,0.00099
60,0.07535
60,0.01199
60,0.01810
60,0.00783
60,0.00303
60,0.00388
60,0.02785
60,0.01405
60,0.00274
60,0.00345
60,0.00841
60,0.01316
60,0.02648
70,0.29855
70,0.08241
70,0.01353
70,0.01140
70,0.12700
70,0.05927
70,0.01184
70,0.01328
70,0.01511
70,0.00461
70,0.01024
70,0.11371
70,0.01342
70,0.00265
70,0.01205
70,0.01361
70,0.00403
70,0.00458
70,0.00728
70,0.01467
70,0.01303
70,0.00234
70,0.00359
70,0.04343
70,0.00872
70,0.00473
70,0.00270
70,0.01376
70,0.00259
70,0.04508
70,0.01463
70,0.00937
70,0.00380
70,0.01419
70,0.00421
70,0.03286
70,0.01495
70,0.01946
